iter	RMSE
0	636.350815
1	603.6806087
2	572.858557
3	543.8343593
4	520.364675
5	497.0777349
6	476.3106032
7	456.2514014
8	442.177825
9	427.8370926
10	411.4739208
11	398.7054557
12	388.0730471
13	377.0626308
14	367.4077726
15	361.218002
16	351.6760612
17	344.9852493
18	338.1915018
19	332.0108079
20	326.032208
21	321.933814
22	316.47151
23	310.883644
24	305.7539719
25	300.6210877
26	296.046524
27	292.5825856
28	288.9438447
29	286.0263935
30	283.2661465
31	280.835285
32	277.2835859
33	274.3342602
34	271.2326753
35	269.4071859
36	267.5525597
37	265.0147917
38	262.4313706
39	258.542813
40	256.4492221
41	254.9845451
42	252.792403
43	251.0037648
44	248.3141014
45	247.020058
46	245.3575966
47	242.6562014
48	241.5510609
49	240.071783
50	238.4472862
51	235.5468095
52	234.7586375
53	233.7526791
54	232.5106027
55	230.2289228
56	228.1595078
57	226.8135036
58	224.4391262
59	223.10423
60	221.6472717
61	219.8488583
62	219.1123165
63	218.1909165
64	216.4408901
65	215.0301935
66	214.5941956
67	213.019211
68	212.3264268
69	210.8838648
70	208.8941511
71	207.4014587
72	206.4974649
73	205.8440677
74	204.3892727
75	202.8278449
76	201.8690185
77	200.572457
78	199.3724775
79	197.222502
80	196.6809913
81	196.4431875
82	194.8244634
83	193.4226766
84	192.9341041
85	191.5830355
86	190.0511435
87	189.8048604
88	188.4025854
89	187.9985712
90	187.8933873
91	187.6682784
92	186.3658188
93	184.9197258
94	184.5105307
95	184.0628299
96	182.638468
97	182.5499887
98	181.2582006
99	179.9726018
100	179.3197143
101	178.1639277
102	177.973782
103	176.2932216
104	175.0756205
105	174.1194731
106	173.9829678
107	172.9489008
108	172.2300666
109	170.6153039
110	169.1700834
111	167.6999692
112	166.6804526
113	165.6966394
114	164.6858447
115	163.6491524
116	162.3918268
117	161.0656205
118	160.1846845
119	159.3085487
120	158.4384887
121	157.9202943
122	157.374118
123	155.9277287
124	154.8732472
125	154.1475118
126	153.3058761
127	153.235119
128	152.7806369
129	152.7166996
130	152.3651397
131	151.7201457
132	150.9960597
133	149.8456077
134	149.1372393
135	148.3638622
136	147.3632243
137	146.8233117
138	146.1632347
139	145.3183198
140	144.9231394
141	144.3286616
142	143.1636328
143	142.8995096
144	142.8473943
145	142.2232846
146	141.5914386
147	140.6562284
148	140.3344863
149	139.6909077
150	139.5893036
151	138.6722009
152	137.9940798
153	137.2523768
154	136.8419712
155	136.24825
156	135.7579976
157	135.1574377
158	134.400764
159	133.8547041
160	133.6004708
161	133.410806
162	132.5768276
163	132.231211
164	132.1183438
165	131.6137989
166	130.7670787
167	130.0273744
168	129.5156775
169	129.3424514
170	128.9216759
171	128.1307224
172	127.5313345
173	126.8320835
174	126.7829927
175	126.3084717
176	125.9164185
177	125.5962973
178	124.8938304
179	124.1400192
180	123.8559597
181	123.4458365
182	123.1887369
183	123.0978976
184	122.7318866
185	122.3736225
186	121.9836021
187	121.5213183
188	121.0040921
189	120.495201
190	120.1091009
191	119.4158416
192	118.8955202
193	118.5823619
194	118.0748566
195	117.5590944
196	117.4258787
197	117.0448396
198	116.4837606
199	115.8728972
200	115.653398
201	115.4313842
202	115.2155347
203	114.4900909
204	114.0966716
205	113.7628685
206	113.3469333
207	113.0817992
208	112.5125406
209	112.3843672
210	112.2429959
211	112.1509877
212	111.7980119
213	111.2432894
214	111.1152334
215	110.8629798
216	110.5854152
217	110.5211662
218	110.1491744
219	109.8629088
220	109.3127391
221	108.8916495
222	108.8689533
223	108.3587455
224	108.230744
225	108.2083237
226	107.826512
227	107.5291091
228	107.0851601
229	106.9782212
230	106.6779626
231	106.1287976
232	105.6788156
233	105.3697016
234	105.3498086
235	105.2473978
236	105.0268594
237	104.4745191
238	104.1014732
239	104.0147196
240	103.6382373
241	103.2198439
242	102.9525151
243	102.6729615
244	102.6396159
245	102.3165627
246	102.0958001
247	102.0754734
248	101.4656032
249	101.0753064
250	100.8583465
251	100.7777558
252	100.4763514
253	100.4104288
254	100.0426574
255	99.414442
256	99.04462873
257	98.82108479
258	98.52969771
259	98.19435728
260	98.01024005
261	97.72954848
262	97.46133046
263	96.9259161
264	96.851015
265	96.83657496
266	96.61115592
267	96.34812379
268	96.2462704
269	96.08136172
270	96.06907647
271	95.85700507
272	95.59236092
273	95.23737931
274	94.98793807
275	94.65703009
276	94.64451191
277	94.63290571
278	94.33112689
279	94.03565471
280	93.51277682
281	93.36504118
282	93.29605294
283	93.09645384
284	92.91121162
285	92.67696529
286	92.47293746
287	92.30359657
288	92.01900831
289	92.00371608
290	91.83258646
291	91.81692221
292	91.67505505
293	91.16011546
294	90.77322425
295	90.57634356
296	90.45405262
297	90.3861525
298	90.30121917
299	89.88635901
300	89.62089734
301	89.38669035
302	89.27293932
303	88.97095099
304	88.94998738
305	88.62930319
306	88.52020575
307	88.34108665
308	88.11738707
309	87.80853699
310	87.80109139
311	87.78780876
312	87.63663407
313	87.39097151
314	86.99373616
315	86.96206904
316	86.84961935
317	86.5861018
318	86.35853443
319	86.22666368
320	86.21911653
321	85.92702835
322	85.8247055
323	85.47776885
324	85.46276118
325	85.27529387
326	85.11523969
327	84.89829917
328	84.78615601
329	84.72998402
330	84.55965086
331	84.54959929
332	84.36551655
333	84.24458556
334	84.17147233
335	83.84506082
336	83.83641759
337	83.71150535
338	83.50968061
339	83.254428
340	83.04337861
341	82.88784156
342	82.76123151
343	82.75524067
344	82.49489085
345	82.26141663
346	82.25408713
347	81.98850827
348	81.69271963
349	81.6871163
350	81.44831479
351	81.33302654
352	81.32553907
353	81.11450825
354	80.94894381
355	80.58216171
356	80.35807194
357	80.14144513
358	79.98045568
359	79.91911993
360	79.73860934
361	79.59644344
362	79.36317184
363	79.19394651
364	78.99449318
365	78.72116059
366	78.65480858
367	78.64987632
368	78.49522259
369	78.29913282
370	78.07998246
371	77.88718807
372	77.73748149
373	77.56267935
374	77.47433726
375	77.25335324
376	77.21175768
377	77.17007755
378	77.13635224
379	76.96158582
380	76.76159587
381	76.54782513
382	76.34807241
383	76.18338129
384	76.05101021
385	75.88935366
386	75.88550167
387	75.71084291
388	75.60548738
389	75.54497677
390	75.49048716
391	75.30021979
392	75.146407
393	74.98565279
394	74.96045062
395	74.68801997
396	74.46381933
397	74.31780141
398	74.13809393
399	73.93852072
400	73.76312794
401	73.52734048
402	73.35662924
403	73.29438787
404	73.14493182
405	73.06761217
406	72.9280656
407	72.85589045
408	72.70693345
409	72.62043187
410	72.60706904
411	72.44164673
412	72.41992886
413	72.27564976
414	72.09038389
415	72.07808667
416	71.97288856
417	71.7847751
418	71.64148425
419	71.63713434
420	71.58011235
421	71.47893401
422	71.36398621
423	71.30722104
424	71.22968239
425	71.11244565
426	70.90446054
427	70.7648849
428	70.69495383
429	70.64269222
430	70.46569167
431	70.3700467
432	70.34259098
433	70.18959949
434	70.18573002
435	70.01585571
436	69.91756618
437	69.91251655
438	69.90693091
439	69.81773508
440	69.81476652
441	69.65922042
442	69.63723652
443	69.41126456
444	69.40767401
445	69.20140117
446	69.076184
447	69.03089575
448	68.91852456
449	68.79310737
450	68.60933018
451	68.55985514
452	68.38008323
453	68.31254275
454	68.30956052
455	68.30555089
456	68.16975431
457	68.11438392
458	68.05223953
459	68.0497421
460	67.98479403
461	67.74435552
462	67.68572821
463	67.54136288
464	67.48508789
465	67.36214681
466	67.2775532
467	67.20775636
468	67.13006351
469	66.98032965
470	66.83521477
471	66.83341293
472	66.74316188
473	66.63569768
474	66.4988572
475	66.2747874
476	66.2160875
477	66.12647992
478	66.12225235
479	65.99860479
480	65.87571804
481	65.80044455
482	65.75974289
483	65.74956102
484	65.69239648
485	65.6834778
486	65.61783917
487	65.53321454
488	65.42260221
489	65.33182348
490	65.28092918
491	65.1674583
492	65.08268734
493	65.05352575
494	64.93079049
495	64.85784803
496	64.69566768
497	64.56266688
498	64.53719523
499	64.41374464
500	64.38061549
501	64.2589056
502	64.16067099
503	64.0197069
504	64.01121793
505	63.8705852
506	63.81583246
507	63.80050476
508	63.67672373
509	63.49589997
510	63.40673795
511	63.27371469
512	63.10436184
513	62.92109953
514	62.86703259
515	62.77655856
516	62.74533982
517	62.62130237
518	62.53054751
519	62.49903708
520	62.39680774
521	62.34358671
522	62.32676723
523	62.30123673
524	62.09175785
525	62.04484653
526	61.97412686
527	61.88212707
528	61.80440338
529	61.64426549
530	61.61816085
531	61.54286587
532	61.49401265
533	61.34054151
534	61.33123725
535	61.28764047
536	61.22312272
537	61.19725222
538	61.16864092
539	61.10463157
540	61.06402898
541	60.94812322
542	60.94298365
543	60.89859508
544	60.86843079
545	60.75904802
546	60.6523059
547	60.57111402
548	60.56946366
549	60.52464256
550	60.45477139
551	60.45187764
552	60.3843473
553	60.32910018
554	60.31458976
555	60.30755558
556	60.23696472
557	60.13662859
558	60.12088346
559	60.08815215
560	60.0411518
561	60.00355184
562	59.88681638
563	59.88119719
564	59.8556712
565	59.78681472
566	59.73919044
567	59.66927929
568	59.62999907
569	59.62008692
570	59.57240655
571	59.56374286
572	59.42672884
573	59.31241372
574	59.25920399
575	59.22455263
576	59.22277946
577	59.19579665
578	59.16421952
579	59.14801836
580	59.11767534
581	59.03350645
582	58.92137983
583	58.91350729
584	58.85926174
585	58.67614939
586	58.57927383
587	58.49962068
588	58.49551533
589	58.4405836
590	58.36776684
591	58.30348426
592	58.21577023
593	58.14531184
594	58.09545012
595	58.09406869
596	58.01235342
597	57.90647029
598	57.80312098
599	57.73356458
600	57.73138363
601	57.5376402
602	57.41960156
603	57.33845694
604	57.23830841
605	57.20252476
606	57.10317261
607	57.07487774
608	57.0391648
609	56.85960342
610	56.77284296
611	56.76923259
612	56.68532934
613	56.64647055
614	56.49047033
615	56.47547671
616	56.4741675
617	56.3498182
618	56.27144124
619	56.20916775
620	56.16130114
621	55.99729167
622	55.99621008
623	55.85072597
624	55.80397185
625	55.80113038
626	55.75072369
627	55.72285185
628	55.68383341
629	55.57714588
630	55.5178564
631	55.46109926
632	55.3623477
633	55.20216954
634	55.0568608
635	55.02901661
636	55.02799603
637	54.97304246
638	54.89939117
639	54.88464647
640	54.80839203
641	54.78131566
642	54.74676419
643	54.69169461
644	54.5857546
645	54.55738376
646	54.49695635
647	54.47563946
648	54.47421673
649	54.4186431
650	54.41747544
651	54.37917689
652	54.28474584
653	54.26158595
654	54.18295934
655	54.14486991
656	54.00128113
657	53.98023664
658	53.93708305
659	53.86211111
660	53.76136121
661	53.62274873
662	53.5544207
663	53.50307092
664	53.43147065
665	53.39475953
666	53.27547499
667	53.27458526
668	53.23277272
669	53.19896434
670	53.06686235
671	52.96846758
672	52.85368189
673	52.68160438
674	52.54100287
675	52.485244
676	52.45627357
677	52.38557073
678	52.35419188
679	52.35138023
680	52.3329978
681	52.29177679
682	52.22114133
683	52.17362958
684	52.11708783
685	52.07047674
686	51.99806387
687	51.91551967
688	51.86249006
689	51.8295304
690	51.81576315
691	51.72872969
692	51.69275304
693	51.68907848
694	51.65575581
695	51.61857525
696	51.60800059
697	51.52911389
698	51.50035643
699	51.49911385
700	51.43487816
701	51.41507262
702	51.41013252
703	51.38576494
704	51.33946914
705	51.32167302
706	51.29909937
707	51.21196538
708	51.09874162
709	51.06930671
710	50.99483369
711	50.88371214
712	50.82197679
713	50.79132243
714	50.77391393
715	50.69217883
716	50.67782674
717	50.59837207
718	50.59533676
719	50.59455818
720	50.53897101
721	50.48071977
722	50.41369355
723	50.36612245
724	50.29176125
725	50.28811376
726	50.22873983
727	50.19983322
728	50.13939252
729	50.06315558
730	50.05984625
731	50.04714998
732	49.93538705
733	49.90133069
734	49.8845103
735	49.86197374
736	49.78894748
737	49.77741712
738	49.75360193
739	49.73107621
740	49.61765237
741	49.57375734
742	49.54276266
743	49.43388579
744	49.40272975
745	49.34618384
746	49.28543378
747	49.18160645
748	49.14532602
749	49.08464789
750	49.01016435
751	48.98227816
752	48.92104601
753	48.82095115
754	48.77167205
755	48.63926398
756	48.63516651
757	48.63385022
758	48.59747818
759	48.54471664
760	48.47030674
761	48.42634062
762	48.29216374
763	48.26077831
764	48.21713078
765	48.14683004
766	48.10842551
767	48.02005524
768	47.85920599
769	47.82933028
770	47.76530434
771	47.73121039
772	47.70354347
773	47.5685766
774	47.54241423
775	47.49274443
776	47.44622752
777	47.42520837
778	47.36015205
779	47.31358722
780	47.21771596
781	47.20989799
782	47.16977136
783	47.12271435
784	47.0719138
785	47.01132126
786	46.99023584
787	46.94407553
788	46.94243277
789	46.89331037
790	46.8047063
791	46.77555266
792	46.71613826
793	46.58043585
794	46.53581204
795	46.53450111
796	46.50001628
797	46.47212094
798	46.38422554
799	46.35504012
