iter	Passed	Remaining
0	2	2008
1	3	1863
2	5	1780
3	7	1804
4	8	1730
5	10	1724
6	11	1695
7	13	1690
8	15	1688
9	16	1669
10	18	1670
11	20	1665
12	22	1678
13	24	1690
14	25	1685
15	27	1681
16	29	1686
17	31	1696
18	32	1679
19	34	1671
20	35	1663
21	38	1697
22	40	1719
23	42	1725
24	44	1734
25	46	1734
26	47	1721
27	49	1715
28	51	1716
29	53	1732
30	55	1729
31	57	1724
32	59	1737
33	61	1737
34	62	1735
35	64	1738
36	66	1736
37	68	1739
38	70	1734
39	72	1732
40	73	1724
41	75	1721
42	77	1715
43	78	1716
44	80	1711
45	82	1718
46	84	1722
47	86	1711
48	87	1702
49	89	1693
50	90	1686
51	91	1676
52	93	1664
53	94	1653
54	95	1643
55	97	1637
56	98	1632
57	100	1626
58	101	1621
59	103	1618
60	104	1611
61	106	1604
62	107	1597
63	108	1591
64	110	1587
65	112	1585
66	113	1585
67	115	1584
68	117	1580
69	118	1572
70	119	1565
71	120	1557
72	122	1550
73	123	1542
74	124	1540
75	126	1535
76	127	1533
77	129	1529
78	130	1523
79	131	1516
80	132	1508
81	134	1502
82	135	1495
83	136	1493
84	138	1490
85	139	1487
86	141	1483
87	142	1479
88	144	1474
89	145	1470
90	146	1465
91	148	1461
92	149	1456
93	150	1450
94	151	1446
95	153	1442
96	154	1437
97	155	1432
98	156	1428
99	158	1422
100	159	1419
101	161	1417
102	162	1414
103	163	1409
104	164	1405
105	166	1401
106	167	1397
107	168	1393
108	169	1389
109	171	1385
110	172	1383
111	174	1382
112	175	1379
113	177	1375
114	178	1372
115	179	1368
116	180	1365
117	182	1360
118	183	1356
119	184	1352
120	185	1349
121	186	1345
122	188	1344
123	190	1343
124	191	1340
125	192	1336
126	193	1333
127	195	1329
128	196	1327
129	197	1324
130	199	1320
131	200	1317
132	201	1314
133	203	1312
134	204	1310
135	206	1309
136	207	1306
137	208	1300
138	209	1297
139	210	1294
140	212	1291
141	213	1288
142	214	1285
143	215	1282
144	217	1280
145	218	1276
146	219	1275
