iter	RMSE
0	0.5685577379
1	0.5419393508
2	0.508742887
3	0.4776092905
4	0.4538334289
5	0.4345513017
6	0.4207395324
7	0.3998507362
8	0.383849186
9	0.3676831832
10	0.3544038056
11	0.3438242739
12	0.3354652912
13	0.3263042611
14	0.319933643
15	0.3109915153
16	0.3034591393
17	0.2951399918
18	0.2901009107
19	0.2849441307
20	0.2795601938
21	0.2749956384
22	0.2708672712
23	0.2663077942
24	0.2634997053
25	0.2607567106
26	0.2581191259
27	0.2550461745
28	0.2526819958
29	0.2511443795
30	0.2481392669
31	0.2455233112
32	0.2428993516
33	0.2409435639
34	0.239532944
35	0.2370917189
36	0.2356948198
37	0.2343546354
38	0.2326819634
39	0.2315527448
40	0.2297794356
41	0.2280648058
42	0.2266805707
43	0.2254715062
44	0.2241424439
45	0.2215850067
46	0.2199940551
47	0.2194061767
48	0.2176907089
49	0.216331831
50	0.214710511
51	0.2135926036
52	0.2129939449
53	0.2106988021
54	0.2090821238
55	0.2079444755
56	0.206759655
57	0.2050724597
58	0.2045743163
59	0.203515396
60	0.2030682891
61	0.202611268
62	0.2016785367
63	0.1997364148
64	0.1991454957
65	0.198173604
66	0.1977712077
67	0.1968620587
68	0.1964685988
69	0.196090593
70	0.1957176909
71	0.1953623108
72	0.1950172275
73	0.1939655138
74	0.1927376638
75	0.1906559637
76	0.1887209107
77	0.1880869423
78	0.1870309822
79	0.1862639471
80	0.1855169628
81	0.184913903
82	0.1841535676
83	0.1829732488
84	0.1825331823
85	0.1807039132
86	0.180380101
87	0.1791007718
88	0.1776419076
89	0.1760465724
90	0.1754079077
91	0.1750791452
92	0.1742986104
93	0.1739821351
94	0.1731762529
95	0.1727302602
96	0.1721857941
97	0.1711486792
98	0.1696928102
99	0.1693818744
100	0.1684749994
101	0.1682169479
102	0.1670309768
103	0.1657258916
104	0.16434677
105	0.1640564643
106	0.1637821549
107	0.1633273398
108	0.162967245
109	0.1626921663
110	0.1619328671
111	0.1613759209
112	0.1610080015
113	0.1607360557
114	0.1602098902
115	0.1591118579
116	0.158831937
117	0.1585711911
118	0.1582335026
119	0.1579764467
120	0.1565744466
121	0.1560813993
122	0.1558242517
123	0.1555978821
124	0.1542626833
125	0.1540466774
126	0.1538057391
127	0.1535660458
128	0.1533327126
129	0.1521754234
130	0.1519411037
131	0.1515703214
132	0.1513454104
133	0.1500042739
134	0.1495917956
135	0.1491966483
136	0.1489714414
137	0.1485535486
138	0.1483148915
139	0.1480943399
140	0.1478990752
141	0.1471296602
142	0.1469179412
143	0.14670746
144	0.146404722
145	0.1461011897
146	0.14587956
147	0.1456737235
148	0.145002355
149	0.144743155
150	0.1445404555
151	0.1438153151
152	0.1433141246
153	0.1417284888
154	0.1415281161
155	0.1413272885
156	0.141130232
157	0.1407632589
158	0.1405701181
159	0.1403028375
160	0.1395991695
161	0.1393514859
162	0.138539306
163	0.1383461531
164	0.138157636
165	0.1378734194
166	0.1366900742
167	0.1365044077
168	0.1356779339
169	0.1349554317
170	0.1346886376
171	0.1344629061
172	0.1342776532
173	0.1339831951
174	0.1338007799
175	0.1336237655
176	0.1333012465
177	0.1331270189
178	0.1329543098
179	0.1327840317
180	0.1326077109
181	0.132441297
182	0.1322026942
183	0.1320389925
184	0.1318770021
185	0.13171346
186	0.1314610408
187	0.1304202823
188	0.1301508049
189	0.1299885049
190	0.1298221367
191	0.1296652683
192	0.1294852226
193	0.1293374394
194	0.1286257479
195	0.1284691582
196	0.1277534049
197	0.1276080586
198	0.1274112481
199	0.1271495236
307382755

