iter	Passed	Remaining
0	13	27061	53	5340
2	62	4103
3	88	4341
4	117	4567
5	129	4181
6	149	4128
7	172	4143
8	182	3874
9	188	3577
10	200	3436
11	211	3311
12	220	3178
13	227	3021
14	240	2960
15	249	2872
16	257	2777
17	267	2702
18	274	2613
19	282	2545
20	291	2480
21	298	2416
22	305	2347
23	312	2288
24	317	2220
25	322	2158
26	328	2105
27	333	2051
28	339	2000
29	346	1961
30	351	1915
31	357	1874
32	364	1846
33	372	1817
34	381	1797
35	387	1765
36	395	1740
37	401	1710
38	408	1686
39	415	1660
40	421	1634
41	428	1613
42	435	1588
43	443	1572
44	448	1546
45	456	1528
46	462	1505
47	518	1641
48	531	1636
49	540	1621
50	550	1607
51	558	1589
52	563	1563
53	571	1545
54	577	1521
55	582	1499
56	593	1488
57	599	1466
58	607	1451
59	612	1430
60	620	1414
61	626	1395
62	633	1377
63	643	1367
64	649	1349
65	656	1332
66	661	1313
67	669	1299
68	675	1282
69	682	1267
70	692	1257
71	703	1249
72	710	1235
73	718	1223
74	726	1210
75	734	1199
76	741	1184
77	749	1172
78	757	1159
79	763	1145
80	771	1133
81	777	1118
82	788	1110
83	802	1107
84	810	1096
85	822	1090
86	831	1080
87	841	1070
88	850	1060
89	856	1046
90	864	1036
91	871	1023
92	879	1012
93	886	999
94	892	986
95	899	974
96	905	962
97	913	951
98	919	938
99	927	927
100	933	914
101	938	901
102	946	891
103	952	878
104	958	867
105	965	856
106	971	844
107	979	834
108	985	822
109	992	812
110	998	800
111	1007	791
112	1014	780
113	1021	770
114	1028	760
115	1033	748
116	1042	739
117	1048	728
118	1056	719
119	1062	708
120	1067	696
121	1075	687
122	1081	677
123	1087	666
124	1093	656
125	1099	645
126	1105	635
127	1110	624
128	1116	614
129	1126	606
130	1132	596
131	1140	587
132	1145	577
133	1152	567
134	1157	557
135	1165	548
136	1174	540
137	1179	529
138	1185	520
139	1190	510
140	1196	500
141	1204	492
142	1210	482
143	1217	473
144	1223	464
145	1229	454
146	1237	446
147	1242	436
148	1247	427
149	1252	417
150	1257	407
151	1261	398
152	1268	389
153	1273	380
154	1277	370
155	1283	361
156	1287	352
157	1291	343
158	1296	334
159	1301	325
160	1305	316
161	1310	307
162	1316	298
163	1321	290
164	1325	281
165	1330	272
166	1335	263
167	1340	255
168	1344	246
169	1348	238
170	1352	229
171	1356	220
172	1360	212
173	1365	203
174	1368	195
175	1372	187
176	1377	179
177	1382	170
178	1386	162
179	1391	154
180	1395	146
181	1399	138
182	1404	130
183	1409	122
184	1413	114
185	1417	106
186	1421	98
187	1426	91
188	1431	83
189	1435	75
190	1439	67
191	1444	60
192	1448	52
193	1452	44
194	1457	37
195	1461	29
196	1466	22
197	1469	14
198	1474	7
199	1478	0
