iter	Logloss
0	0.6499222464
1	0.6147995319
2	0.5900201165
3	0.5723300357
4	0.5491124883
5	0.5333692613
6	0.51567431
7	0.502013889
8	0.4933616001
9	0.4821825842
10	0.4736123451
11	0.4661781632
12	0.4577770154
13	0.4509780243
14	0.446554476
15	0.4417841987
16	0.4366472334
17	0.4315751662
18	0.4250783529
19	0.4204222487
20	0.4182425567
21	0.4140349738
22	0.4095674002
23	0.4057456685
24	0.4025244298
25	0.3993772101
26	0.3961090454
27	0.3928951105
28	0.3895996244
29	0.3872983343
30	0.3854643513
31	0.3834938
32	0.3813891014
33	0.379738519
34	0.3776608198
35	0.377225867
36	0.375400539
37	0.373563723
38	0.3720541993
39	0.3691978441
40	0.3667222276
41	0.3656163186
42	0.3639067167
43	0.3622265626
44	0.3597807393
45	0.3586879119
46	0.3574087733
47	0.3554356454
48	0.3538779439
49	0.3517169417
50	0.3502055396
51	0.3493160324
52	0.3463621752
53	0.3443677292
54	0.3425630613
55	0.3407571266
56	0.3387244832
57	0.3366509451
58	0.3347996144
59	0.3335145938
60	0.3311140364
61	0.3284054861
62	0.3253533265
63	0.3238033593
64	0.3228061341
65	0.320727739
66	0.3193733498
67	0.3182106985
68	0.3174740604
69	0.3157510071
70	0.314392928
71	0.31153111
72	0.3097661205
73	0.3081954294
74	0.3054520038
75	0.3022194583
76	0.3006240172
77	0.2992271294
78	0.2980259379
79	0.2960117543
80	0.2937064425
81	0.2917699695
82	0.291073986
83	0.2898553339
84	0.2874141474
85	0.2852200728
86	0.2839561796
87	0.2806472835
88	0.2785973217
89	0.2779052465
90	0.2766484223
91	0.2751961106
92	0.2747594337
93	0.273099773
94	0.2715358032
95	0.2691071666
96	0.2676785567
97	0.2657563303
98	0.2628650011
99	0.2617156538
100	0.2596380577
101	0.2578868088
102	0.2558510771
103	0.2547444515
104	0.2522917289
105	0.2512788258
106	0.2495432579
107	0.2481004593
108	0.2469933074
109	0.2448360301
110	0.2445544973
111	0.2429311505
112	0.2428243732
113	0.2410385726
114	0.240269572
115	0.2394459968
116	0.2392644625
117	0.2382518071
118	0.2377149466
119	0.2369520612
120	0.2353571616
121	0.2328569213
122	0.2317366117
123	0.2300417924
124	0.2276591841
125	0.2257596518
126	0.2246308904
127	0.2240548647
128	0.2218609326
129	0.2203908197
130	0.2193100317
131	0.2173725103
132	0.2163129132
133	0.2149808138
134	0.2145619138
135	0.2129747786
136	0.212616163
137	0.2114044431
138	0.2092426968
139	0.2079758868
140	0.2073572289
141	0.2065482365
142	0.2050065409
143	0.2040485133
144	0.203766063
145	0.2031267837
146	0.2026657056
147	0.2009816739
148	0.1993508111
149	0.1991838244
150	0.1983350864
151	0.197021877
152	0.1964857823
153	0.1949784511
154	0.1933157129
155	0.1927605546
156	0.1926232319
157	0.1915735503
158	0.1910842281
159	0.190849439
160	0.1907175165
161	0.1906308533
162	0.189324735
163	0.1892420112
164	0.1875115889
165	0.1859804915
166	0.184564141
167	0.1838967565
168	0.1829973443
169	0.1822722062
170	0.1815270073
171	0.1807456779
172	0.1803612644
173	0.1786396066
174	0.1786155207
175	0.1779866151
176	0.1774288411
177	0.1767721446
178	0.1760783086
179	0.175901581
180	0.1741079842
181	0.1740382304
182	0.1723970566
183	0.1715077238
184	0.1710901392
185	0.1702727711
186	0.1687894984
187	0.1680689549
188	0.1670432276
189	0.1657207732
190	0.1653697223
191	0.1648899272
192	0.1642241979
193	0.1637582677
194	0.1626636024
195	0.1622591626
196	0.1613496205
197	0.1602237762
198	0.1593540488
199	0.1587817123
