iter	Passed	Remaining
0	1	395
1	3	382
2	5	382
3	7	376
4	9	378
5	11	381
6	13	381
7	15	377
8	17	374
9	19	371
10	21	365
11	23	364
12	25	366
13	27	366
14	29	363
15	31	361
16	33	359
17	35	358
18	37	355
19	39	354
20	41	352
21	43	349
22	45	347
23	47	345
24	49	343
25	50	340
26	52	338
27	54	336
28	56	334
29	58	332
30	60	331
31	62	329
32	64	327
33	66	325
34	69	325
35	71	325
36	73	322
37	75	320
38	77	317
39	79	316
40	81	314
41	82	311
42	84	310
43	86	307
44	88	305
45	90	303
46	92	301
47	94	298
48	96	296
49	98	295
50	100	292
51	102	290
52	104	288
53	105	286
54	107	284
55	109	282
56	111	280
57	114	279
58	116	277
59	118	275
60	119	272
61	121	270
62	123	267
63	124	265
64	126	263
65	128	261
66	130	259
67	133	258
68	134	256
69	136	253
70	138	251
71	140	248
72	141	246
73	144	246
74	146	244
75	148	242
76	150	240
77	152	237
78	153	235
79	155	233
80	158	232
81	159	230
82	161	228
83	163	225
84	165	224
85	167	222
86	169	220
87	171	218
88	173	216
89	175	214
90	176	211
91	178	209
92	180	207
93	182	205
94	184	203
95	186	202
96	188	200
97	191	198
98	193	197
99	194	194
100	196	192
101	199	191
102	201	189
103	203	188
104	206	186
105	207	184
106	209	182
107	212	180
108	213	178
109	215	176
110	217	174
111	219	172
112	221	170
113	223	168
114	225	166
115	227	164
116	229	162
117	231	161
118	233	159
119	236	157
120	237	155
121	239	153
122	241	151
123	243	149
124	245	147
125	247	145
126	249	143
127	251	141
128	253	139
129	255	137
130	256	135
131	258	133
132	260	131
133	262	129
134	264	127
135	266	125
136	268	123
137	270	121
138	272	119
139	274	117
140	276	115
141	278	113
142	280	111
143	282	109
144	283	107
145	285	105
146	287	103
147	289	101
148	291	99
149	293	97
150	295	95
151	297	93
152	299	91
153	301	90
154	303	88
155	306	86
156	308	84
157	311	82
158	313	80
159	315	78
160	317	76
161	319	74
162	321	72
163	323	71
164	325	69
165	327	67
166	329	65
167	331	63
168	333	61
169	334	59
170	336	57
171	338	55
172	340	53
173	342	51
174	344	49
175	346	47
176	348	45
177	349	43
178	351	41
179	353	39
180	355	37
181	357	35
182	359	33
183	361	31
184	363	29
185	365	27
186	366	25
187	368	23
188	370	21
189	372	19
190	374	17
191	375	15
192	377	13
193	379	11
194	381	9
195	383	7
196	385	5
197	387	3
198	389	1
199	391	0
