iter	RMSE
0	1165357.355
1	1103981.872
2	1047155.8
3	996565.3745
4	944376.0769
5	897747.327
6	857770.3951
7	826404.8291
8	797777.096
9	773969.9278
10	751756.062
11	731890.9012
12	710573.6457
13	691165.2284
14	675145.3588
15	661199.1081
16	648785.1273
17	637238.1213
18	627884.2647
19	619211.328
20	611521.8646
21	604140.2294
22	598946.8537
23	592589.7417
24	587602.8548
25	582776.1257
26	579130.5139
27	575797.4363
28	572791.5082
29	568491.4629
30	565215.1309
31	562127.864
32	558231.6201
33	554739.2662
34	552494.8884
35	550464.0169
36	548493.7203
37	547331.5979
38	545872.6481
39	543766.9516
40	541997.9083
41	540304.698
42	539301.1969
43	538898.1513
44	537847.1095
45	537173.1049
46	534823.7238
47	531472.687
48	530556.1212
49	529801.0818
50	528931.2253
51	528024.4427
52	527128.3821
53	525455.6303
54	523971.1488
55	521857.132
56	521351.7794
57	520072.3361
58	517293.7586
59	516203.7038
60	515284.6806
61	513751.4934
62	511537.2008
63	510672.4653
64	509356.288
65	506665.1315
66	505246.5628
67	504272.7581
68	502161.4588
69	500589.2352
70	498972.4535
71	498358.5745
72	497616.6869
73	496828.0712
74	495840.6249
75	495022.9343
76	494281.7527
77	492663.8942
78	491348.916
79	489584.9573
80	489132.6071
81	488535.6788
82	487851.9363
83	487237.6071
84	485705.8914
85	484784.538
86	484379.9019
87	484108.4337
88	483745.7381
89	483327.1512
90	482455.0624
91	481635.981
92	480460.6997
93	479008.3332
94	478326.0536
95	477126.4818
96	476487.2604
97	475548.2899
98	474739.1803
99	473866.9244
100	472631.2515
101	471016.6978
102	469980.3212
103	468685.5761
104	468266.2404
105	467459.8501
106	466510.8166
107	465676.0859
108	465098.9372
109	464455.8302
110	463794.1311
111	463050.4785
112	462238.5224
113	461348.4207
114	460597.9723
115	459936.5214
116	458742.5326
117	457865.409
118	457265.9575
119	456714.2542
120	456300.3298
121	455704.9739
122	455068.2884
123	454472.5129
124	454150.6736
125	453495.1177
126	452503.6285
127	451782.5029
128	450701.1365
129	450158.4462
130	449742.2067
131	449320.6217
132	448962.3583
133	448384.5054
134	447556.3152
135	447193.2746
136	446974.457
137	446321.6378
138	444931.2454
139	443730.2403
140	442882.2291
141	442550.3901
142	442271.9516
143	441945.3643
144	441448.0697
145	440891.3324
146	440458.7625
147	439979.8263
148	439512.6969
149	439232.8174
150	438474.2777
151	438213.2854
152	437438.571
153	437195.8421
154	436760.3018
155	436262.9237
156	435925.7068
157	435580.4596
158	434354.5861
159	434127.1081
160	433744.7915
161	433373.1017
162	432856.1692
163	432459.0974
164	432000.6732
165	431839.7196
166	430591.3702
167	430135.3045
168	429807.2269
169	429343.2113
170	428997.7588
171	428012.8443
172	427736.8383
173	427240.4213
174	426918.4644
175	426468.2726
176	426028.326
177	425201.0656
178	424611.9542
179	423984.3008
180	423718.8851
181	423325.1884
182	422937.5335
183	422044.6292
184	421259.021
185	420385.1448
186	420015.6499
187	419714.648
188	418820.3205
189	418126.0477
190	417774.1592
191	417355.6338
192	415961.1069
193	415578.9313
194	415234.391
195	414740.9413
196	414037.5038
197	413726.0644
198	413243.2452
199	413096.4834
