iter	Passed	Remaining
0	55	10994
1	94	9311
2	128	8406
3	163	8030
4	198	7757
5	233	7536
6	268	7391
7	302	7267
8	337	7163
9	373	7102
10	411	7074
11	447	7011
12	483	6949
13	514	6839
14	548	6762
15	583	6712
16	617	6649
17	652	6594
18	686	6541
19	717	6459
20	754	6430
21	791	6405
22	825	6354
23	860	6309
24	901	6311
25	935	6263
26	972	6232
27	1008	6196
28	1043	6154
29	1078	6113
30	1112	6065
31	1146	6018
32	1180	5976
33	1217	5944
34	1254	5912
35	1290	5877
36	1326	5842
37	1361	5804
38	1396	5763
39	1437	5751
40	1479	5736
41	1518	5713
42	1556	5683
43	1576	5589
44	1608	5540
45	1645	5509
46	1687	5494
47	1725	5464
48	1760	5425
49	1795	5385
50	1829	5346
51	1852	5271
52	1887	5235
53	1921	5196
54	1962	5174
55	1997	5137
56	2030	5094
57	2065	5056
58	2100	5018
59	2141	4996
60	2184	4977
61	2224	4951
62	2267	4929
63	2304	4897
64	2340	4861
65	2380	4832
66	2414	4792
67	2448	4752
68	2483	4715
69	2518	4677
70	2555	4642
71	2592	4608
72	2627	4570
73	2663	4534
74	2698	4497
75	2732	4457
76	2767	4420
77	2802	4384
78	2838	4347
79	2877	4316
80	2913	4279
81	2948	4243
82	2987	4211
83	3022	4173
84	3057	4136
85	3090	4096
86	3125	4059
87	3162	4025
88	3198	3989
89	3231	3950
90	3269	3915
91	3304	3879
92	3340	3842
93	3374	3805
94	3410	3769
95	3443	3730
96	3476	3691
97	3509	3653
98	3542	3614
99	3576	3576
100	3609	3537
101	3645	3502
102	3679	3465
103	3715	3429
104	3751	3394
105	3783	3355
106	3817	3317
107	3852	3281
108	3885	3244
109	3920	3207
110	3959	3174
111	3991	3135
112	4026	3099
113	4061	3064
114	4096	3027
115	4132	2992
116	4169	2957
117	4203	2920
118	4240	2886
119	4274	2849
120	4309	2813
121	4341	2775
122	4376	2739
123	4409	2702
124	4445	2667
125	4482	2632
126	4518	2597
127	4554	2561
128	4593	2528
129	4627	2491
130	4661	2455
131	4697	2419
132	4729	2382
133	4762	2345
134	4797	2310
135	4831	2273
136	4867	2238
137	4903	2202
138	4941	2168
139	4978	2133
140	5015	2098
141	5049	2062
142	5085	2027
143	5122	1992
144	5158	1956
145	5195	1921
146	5232	1886
147	5271	1852
148	5304	1815
149	5341	1780
150	5376	1744
151	5410	1708
152	5446	1673
153	5479	1636
154	5513	1600
155	5548	1564
156	5580	1528
157	5613	1492
158	5653	1457
159	5689	1422
160	5724	1386
161	5760	1351
162	5793	1315
163	5826	1278
164	5862	1243
165	5894	1207
166	5928	1171
167	5961	1135
168	5994	1099
169	6027	1063
170	6061	1028
171	6100	993
172	6137	957
173	6172	922
174	6207	886
175	6246	851
176	6280	816
177	6312	780
178	6345	744
179	6381	709
180	6414	673
181	6446	637
182	6479	601
183	6515	566
184	6547	530
185	6582	495
186	6620	460
187	6653	424
188	6689	389
189	6720	353
190	6754	318
191	6787	282
192	6820	247
193	6854	212
194	6887	176
195	6926	141
196	6959	105
197	6992	70
198	7025	35
199	7057	0
